Date,Open,High,Low,Close,Volume
2020-08-18,111.014,112.616,110.683,112.183,108803267
2020-08-19,112.596,113.755,112.232,112.33,149905140
2020-08-20,112.369,114.94,112.35,114.832,130715269
2020-08-21,115.786,121.221,115.776,120.739,348198587
2020-08-24,124.948,125.028,120.338,122.192,356318261
2020-08-25,121.064,121.525,119.465,121.181,217842103
2020-08-26,122.506,123.301,121.426,122.838,167914048
2020-08-27,123.447,123.761,120.229,121.356,160220016
2020-08-28,122.34,122.76,120.946,121.171,193260092
2020-08-31,123.86,127.167,122.33,125.283,232475310
2020-09-01,128.892,130.865,126.744,130.267,157045285
2020-09-02,133.591,133.959,123.311,127.559,206123925
2020-09-03,123.222,125.086,116.992,117.355,265329387
2020-09-04,116.58,120.101,107.651,117.432,342587648
2020-09-08,110.635,115.528,109.408,109.541,238309139
2020-09-09,113.849,115.666,111.898,113.907,182249875
2020-09-10,116.864,116.992,109.231,110.19,187743866
2020-09-11,111.233,111.868,106.797,108.738,186287367
2020-09-14,111.379,112.547,109.523,111.998,144355546
2020-09-15,114.882,115.361,110.298,112.163,190182560
2020-09-16,111.868,112.616,108.778,108.866,159678534
2020-09-17,106.52,108.934,105.541,107.13,183352511
2020-09-18,107.188,107.641,103.008,103.733,295719988
2020-09-21,101.49,106.983,100.102,106.873,201586565
2020-09-22,109.408,109.581,105.982,108.555,188548285
2020-09-23,108.366,108.846,103.665,103.991,155241261
2020-09-24,102.107,107.043,101.939,105.06,172776792
2020-09-25,105.266,109.171,104.52,109.014,154481909
2020-09-28,111.653,111.958,109.503,111.605,141803514
2020-09-29,111.213,111.948,110.259,110.76,103063024
2020-09-30,110.477,113.849,110.308,112.428,146956412
2020-10-01,114.206,114.284,112.447,113.391,119604845
2020-10-02,109.611,111.998,108.954,109.741,149054333
2020-10-05,110.597,113.252,110.24,113.103,109431880
2020-10-06,112.32,112.735,108.984,109.878,166344258
2020-10-07,111.281,112.173,110.799,111.721,99755115
2020-10-08,112.861,113.007,111.251,111.615,85982037
2020-10-09,111.918,113.599,111.566,113.569,103522756
2020-10-12,116.57,121.525,115.816,120.768,247435213
2020-10-13,121.613,121.731,116.165,117.569,270202154
2020-10-14,117.471,119.445,116.136,117.658,155595207
2020-10-15,115.264,117.668,114.704,117.196,115936762
2020-10-16,117.748,118.004,115.351,115.558,118856408
2020-10-19,116.472,116.913,112.282,112.596,124259340
2020-10-20,112.813,115.518,112.252,114.086,128157288
2020-10-21,113.272,115.246,113.055,113.47,92644972
2020-10-22,114.036,114.594,111.251,112.369,105048287
2020-10-23,112.998,113.152,110.945,111.681,85050386
2020-10-26,110.683,113.152,109.601,111.691,115206938
2020-10-27,112.116,113.869,111.203,113.202,95045703
2020-10-28,111.691,112.056,107.856,107.954,148256939
2020-10-29,109.103,113.53,108.934,111.958,150514045
2020-10-30,107.816,108.729,104.568,105.688,196291980
2020-11-02,105.934,107.464,104.189,105.599,126553743
2020-11-03,106.462,108.239,105.559,107.228,110853915
2020-11-04,110.808,112.213,109.084,111.595,142383489
2020-11-05,114.511,116.136,113.47,115.558,130179548
2020-11-06,115.069,115.935,112.939,115.43,117689397
2020-11-09,117.196,118.64,112.861,113.122,158877727
2020-11-10,112.369,114.354,110.994,112.783,141920187
2020-11-11,113.976,116.354,113.242,116.215,115465364
2020-11-12,116.344,117.226,115.313,115.944,106268562
2020-11-13,116.165,116.392,114.624,115.99,83994890
2020-11-16,115.656,117.668,114.901,117.002,93757376
2020-11-17,116.275,117.355,115.696,116.116,76367858
2020-11-18,115.351,116.54,114.754,114.783,78476903
2020-11-19,114.354,115.796,113.609,115.381,76205393
2020-11-20,115.391,115.508,114.066,114.116,75682347
2020-11-23,113.966,114.383,110.635,110.722,131571978
2020-11-24,110.78,112.665,109.503,111.998,117089215
2020-11-25,112.359,113.549,111.998,112.842,78659027
2020-11-27,113.371,114.254,113.026,113.391,48009561
2020-11-30,113.765,117.649,113.609,115.786,174193114
2020-12-01,117.688,120.081,116.726,119.345,131785321
2020-12-02,118.67,119.985,117.569,119.701,91517040
2020-12-03,120.131,120.387,118.859,119.563,81197114
2020-12-04,119.225,119.485,118.178,118.896,80469938
2020-12-07,118.955,121.141,118.896,120.357,89063538
2020-12-08,120.946,121.544,119.711,120.956,84324071
2020-12-09,121.102,122.496,117.678,118.432,118119720
2020-12-10,117.196,120.475,116.864,119.856,83607507
2020-12-11,119.071,119.385,117.246,119.052,89394348
2020-12-14,119.225,119.965,118.198,118.432,81308531
2020-12-15,120.917,124.379,120.71,124.359,162020983
2020-12-16,123.909,124.842,123.096,124.293,100981303
2020-12-17,125.362,126.03,124.516,125.166,97023861
2020-12-18,125.421,125.557,122.663,123.192,197977498
2020-12-21,121.584,124.783,120.052,124.704,124674833
2020-12-22,127.991,130.709,126.099,128.256,174133117
2020-12-23,128.529,128.798,127.177,127.352,90714502
2020-12-24,127.707,129.797,127.49,128.344,56480898
2020-12-28,130.307,133.581,129.846,132.946,128000842
2020-12-29,134.26,134.979,130.65,131.16,124464839
2020-12-30,131.818,132.26,129.737,130.051,99175245
2020-12-31,130.394,131.032,128.099,129.05,101914932
2021-01-04,129.855,129.943,123.291,125.861,147347712
2021-01-05,125.352,128.118,124.899,127.401,100422258
2021-01-06,124.204,127.441,122.918,123.134,159466551
2021-01-07,124.832,128.011,124.339,127.314,112671864
2021-01-08,128.798,128.992,126.666,128.422,108127166
2021-01-11,125.644,126.607,124.968,125.44,103461697
2021-01-12,124.968,126.138,123.39,125.263,94547190
2021-01-13,125.224,127.834,124.958,127.284,91139304
2021-01-14,127.197,127.391,125.224,125.372,92768974
2021-01-15,125.243,126.656,123.517,123.642,114749279
2021-01-19,124.264,125.176,123.467,124.31,93319670
2021-01-20,125.126,128.853,125.018,128.402,107264730
2021-01-21,130.129,135.831,129.923,133.124,123932441
2021-01-22,132.545,136.008,131.309,135.241,117690876
2021-01-25,139.147,141.099,132.797,139,162061545
2021-01-26,139.666,140.334,137.479,139.237,101168405
2021-01-27,139.5,140.334,136.556,138.155,144820185
2021-01-28,135.684,138.086,132.956,133.339,146647734
2021-01-29,132.101,132.996,126.646,128.334,182535821
2021-02-01,130.08,131.661,127.324,130.454,109239279
2021-02-02,132.004,132.575,130.904,131.279,85657317
2021-02-03,132.032,132.042,129.943,130.257,92418535
2021-02-04,132.565,133.631,130.885,133.621,86559791
2021-02-05,133.781,133.849,132.33,133.212,77714752
2021-02-08,132.495,133.407,131.405,133.357,73200754
2021-02-09,133.075,134.29,132.32,132.475,78823981
2021-02-10,132.936,133.436,130.894,131.867,74996807
2021-02-11,132.369,132.847,130.287,131.612,65996220
2021-02-12,130.847,132.004,130.229,131.847,61750923
2021-02-16,131.965,132.475,129.335,129.727,82727594
2021-02-17,127.834,128.788,126.108,127.431,100703993
2021-02-18,125.841,126.617,124.086,126.34,99442692
2021-02-19,126.863,127.304,125.45,126.5,90009473
2021-02-22,124.674,126.35,122.34,122.73,106690847
2021-02-23,120.544,123.429,115.313,122.594,162498698
2021-02-24,121.692,122.302,119.052,122.093,114004520
2021-02-25,121.436,123.172,117.404,117.835,152156270
2021-02-26,119.395,121.603,118.042,118.101,168953936
2021-03-01,120.534,124.595,119.593,124.458,119413157
2021-03-02,125.067,125.372,121.761,121.868,104991174
2021-03-03,121.564,122.447,118.67,118.887,115982388
2021-03-04,118.58,120.387,115.538,117.012,182911474
2021-03-05,117.825,118.77,114.511,118.256,157871963
2021-03-08,117.777,117.845,113.182,113.331,158498256
2021-03-09,115.944,118.887,115.706,117.935,132983944
2021-03-10,118.52,118.993,116.354,116.874,114932063
2021-03-11,119.345,120.003,118.101,118.79,105777184
2021-03-12,117.275,118.013,116.067,117.875,90457336
2021-03-15,118.246,120.768,117.295,120.759,95062598
2021-03-16,122.437,123.909,121.465,122.311,118304367
2021-03-17,120.818,122.594,119.159,121.515,114921087
2021-03-18,119.681,119.975,117.196,117.394,124712834
2021-03-19,116.795,118.266,116.57,116.874,190503446
2021-03-22,117.206,120.651,117.139,120.18,114900192
2021-03-23,120.121,121.005,118.964,119.345,98015987
2021-03-24,119.622,119.701,116.943,116.973,90894130
2021-03-25,116.442,118.49,115.915,117.452,101483702
2021-03-26,117.226,118.315,115.836,118.052,96582809
2021-03-29,118.481,119.385,117.589,118.226,82976966
2021-03-30,116.992,117.275,115.776,116.795,87959244
2021-03-31,118.481,120.308,117.994,118.974,121482912
2021-04-01,120.445,120.946,119.295,119.797,77093913
2021-04-05,120.651,122.888,119.866,122.633,91018041
2021-04-06,123.222,123.82,122.387,122.938,82311718
2021-04-07,122.564,124.585,121.887,124.565,85695164
2021-04-08,125.594,126.999,125.176,126.972,91216623
2021-04-09,126.43,129.582,126.108,129.542,109535094
2021-04-12,129.08,129.394,127.227,127.824,93860772
2021-04-13,129.002,131.15,128.5,130.923,93703238
2021-04-14,131.424,131.483,128.226,128.599,89551514
2021-04-15,130.337,131.483,130.169,130.992,91732549
2021-04-16,130.798,131.16,129.816,130.669,87189699
2021-04-19,130.041,131.945,129.874,131.328,96780943
2021-04-20,131.503,132.004,128.384,129.649,97343710
2021-04-21,128.922,130.267,127.883,130.032,70685261
2021-04-22,129.582,130.659,127.991,128.51,86824266
2021-04-23,128.729,131.602,128.729,130.818,80859479
2021-04-26,131.319,131.542,130.089,131.21,68691344
2021-04-27,131.493,131.887,130.621,130.885,67778337
2021-04-28,130.808,131.503,129.621,130.109,110637146
2021-04-29,132.926,133.514,129.012,130.012,155135144
2021-04-30,128.354,130.089,127.649,128.041,112772031
2021-05-03,128.609,130.583,128.402,129.099,77141106
2021-05-04,127.774,128.071,123.419,124.516,141237510
2021-05-05,125.841,127.058,124.635,124.763,86243610
2021-05-06,124.555,126.38,123.82,126.37,80214255
2021-05-07,127.659,128.061,126.321,127.038,80944262
2021-05-10,126.262,126.39,123.721,123.761,90269284
2021-05-11,120.495,123.202,119.778,122.848,129291059
2021-05-12,120.397,121.603,119.265,119.778,114971842
2021-05-13,121.544,123.087,121.231,121.926,108503393
2021-05-14,123.182,124.773,122.789,124.339,83962434
2021-05-17,123.731,123.84,122.123,123.202,76097596
2021-05-18,123.487,123.899,121.741,121.809,64923819
2021-05-19,120.16,121.877,119.866,121.653,94923369
2021-05-20,122.182,124.605,122.054,124.204,78775297
2021-05-21,124.704,124.881,122.162,122.378,81274465
2021-05-24,122.948,124.822,122.878,124.009,64667598
2021-05-25,124.704,125.196,123.252,123.811,73806672
2021-05-26,123.869,124.283,123.35,123.761,57987923
2021-05-27,123.37,124.525,122.034,122.232,96987237
2021-05-28,122.516,122.74,121.515,121.574,73090868
2021-06-01,122.034,122.302,120.917,121.251,69325184
2021-06-02,121.261,122.192,121.025,122.016,60758324
2021-06-03,121.643,121.809,120.131,120.534,78131674
2021-06-04,121.045,123.096,120.828,122.828,77045395
2021-06-07,123.105,123.252,121.8,122.838,72830981
2021-06-08,123.527,125.332,123.144,123.652,76260720
2021-06-09,124.106,124.635,123.447,124.037,58297478
2021-06-10,123.929,125.067,122.878,123.047,72963069
2021-06-11,123.457,124.329,123.037,124.244,54858167
2021-06-14,124.704,127.352,123.979,127.294,99325050
2021-06-15,126.784,127.411,126.244,126.49,64312334
2021-06-16,127.187,127.697,125.332,126.98,94106517
2021-06-17,126.646,129.325,126.5,128.579,99135618
2021-06-18,127.519,128.306,127.068,127.275,111672531
